X,Y,GLOBAL_ID,NAME,ELEVATION,SERVCITY,STATE,IDENT,ICAO_ID
-108.44551164094,44.9116734462319,F76A3AF7-724F-459C-868F-9EABEA8E7D63,North Big Horn County,4093.5,COWLEY/LOVELL/BYRON,WY,U68,
-104.878232806967,43.5060902515471,12B1D179-A5FF-4FA6-8C3C-45D09B86C61F,Sherwin Fld Nr 1,4190,DULL CENTER/SW CLARETON/,WY,WY09,
-107.949414154973,44.0122122798355,35636034-7DB5-4D3F-AFB3-14F9C24D105F,Washakie Medical Center,4200,WORLAND,WY,WY35,
-104.192432439071,42.0835095695463,BD4995C9-601F-4958-8043-D71910258D9B,Community Hospital,4210,TORRINGTON,WY,WY26,
-104.810814311216,44.3472117481388,C79B8B4C-F161-44FD-9E41-1C5CB8DBC1F6,Keyhole,4250,MOORCROFT,WY,01WY,
-104.567844025865,44.6628681950187,4ECC2202-DB1A-4AEE-8B13-4ADB63277DE2,Hulett Muni,4263.7,HULETT,WY,W43,
-104.640804785564,44.090543676192,9B25743C-C352-443A-BD0F-92425E33D3C4,Upton Muni,4290,UPTON,WY,83V,
-106.26587377853,44.0733185397859,F9984901-AB5B-4D51-933C-4E973B1C5470,Iberlin Strip,4331,SUSSEX,WY,WY23,
-107.276755807208,44.8458068744523,432F3806-858A-4109-8E4B-0C29EC040FAB,Xingu Airstrip,4340,DAYTON,WY,99WY,
-108.734307795594,44.7902361847756,26F113AA-82F8-4A23-A795-1AF8A8BF862A,Bakers Fld,4350,POWELL,WY,WY36,
-105.162127449808,44.3380625519196,7796DFF4-B95F-452D-A6AE-181B0ED5AD3F,Kissack/Reynolds,4380,ROZET,WY,22WY,
-108.384678214804,44.450006734746,E2D63B71-FF30-4A48-AA6A-D429ABAA9FE7,Black Diamond,4400,BURLINGTON,WY,12WY,
-108.772236687356,44.7573456229257,2EABAD8C-0507-409B-B288-DC6C03CBB696,Powell Hospital,4405,POWELL,WY,WY04,
-108.678678321709,44.6896734019358,E04F964D-058D-4666-AAB0-6D1E322AA9D3,Bunch Grass Intergalactic,4408,POWELL,WY,WY15,
-104.936647646109,42.3069206526459,515B8A5B-BD42-445B-9B07-E37C47B655B1,Snell - North Laramie River,4490,WHEATLAND,WY,WY25,
-105.933913681217,43.9499838299152,C09E4E2D-C359-48E7-AA68-F28113F3D102,Iberlin Ranch Nr 1,4500,SAVAGETON,WY,WY22,
-105.337502493323,44.3488767046091,836C706E-6206-4BB3-9593-B22CC8F4B5A2,Madsen,4500,GILLETTE,WY,WY65,
-105.020038251761,42.520034562289,F77739E9-627F-4547-963A-5FB424684F96,Thomas Meml,4666,GLENDO,WY,76V,
-107.379494323405,43.9677112391117,636347C3-3032-4379-8021-E2FF69AD8767,Red Reflet Ranch,4732.4,TEN SLEEP,WY,WY00,
-105.55472433918,43.3958076835383,2F8C238C-91E4-41A9-81C8-C168129C93F3,Dilts Ranch,4800,BILL,WY,WY01,
-108.122066850479,43.2509788451864,B86C0506-1F3B-4F99-B6A3-71BD0EF2C616,Shoshoni Muni,4818,SHOSHONI,WY,49U,
-107.294594547196,43.9254234364454,7FD70AB8-37E9-43D4-B71E-E67D445544DC,Lazy T Ranch,4857,TEN SLEEP,WY,8WY6,
-105.519108081952,44.2902736275534,3D40A520-1C23-4FB2-838D-E7979F203888,Campbell County Meml Hospital,4875,GILLETTE,WY,WY21,
-105.653347500552,43.9263710732984,570BB0C7-9A8C-49EA-B8A2-68160CA04439,Ohman Ranch,4905,GILLETTE,WY,WY12,
-105.664456647131,43.7860899446462,8409C031-E7EB-4C26-BF30-AF4A8F436907,Little Buffalo Ranch,4919,GILLETTE,WY,WY13,
-111.033623114824,43.7268119832496,608F1C5C-840B-48CD-A1CF-A1D05CAD762C,Sundance Ranch,4926,ALTA,WY,WY08,
-104.595727327068,44.4193181635748,0660A752-8F63-491F-93A1-D3E933CDA9DC,Taylor Fld,4950,SUNDANCE,WY,WY55,
-109.073533936664,44.5270844608823,4F2BC561-41AA-4ABC-93C5-9D514C08D811,Cody Rgnl Health,4995,CODY,WY,WY62,
-106.008911137414,43.5583115552043,2DDE65DB-FE5E-406B-8A17-42FCA345CEB5,Iberlin Ranch Nr 2,5020,MIDWEST,WY,WY18,
-105.743066336026,43.4461179523806,4B235E05-00ED-4B93-A76D-092EDD1980B0,Moore Ranch,5027,DOUGLAS,WY,84WY,
-108.418764105108,43.0344204628636,68B684FD-5F63-49F3-BCF7-89EA3536E29E,Riverton Meml Hospital,5032,RIVERTON,WY,WY24,
-105.675562134824,43.3252521102105,4C393785-E279-4112-9ADB-93C66F1082E9,Hardy Ranch,5077,DOUGLAS,WY,WY07,
-105.084985963333,41.9330330933624,8EE98654-0800-4CC1-97BE-40BB7CCA2ED3,Two Bar Ranch,5110,WHEATLAND,WY,WY59,
-104.13476008069,41.1524788942642,45B890AC-8671-49E0-8A55-45EDC4EC0468,Pine Bluffs Muni,5152.1,PINE BLUFFS,WY,82V,
-106.33642582884,42.8535828328467,EA8570EE-1885-4E85-966F-08F8C66707F0,True,5153,CASPER,WY,WY47,
-108.73680604651,44.3074622446816,CF24E05E-337B-4863-9AFD-BCEBFB950551,Yu Ranch,5170,MEETEETSE,WY,WY42,
-106.22445524505,42.8403678401898,A9B182AC-C3EA-401E-89D2-64245ABE8022,Mountain View Rgnl Hospital,5209.3,CASPER,WY,00WY,
-105.619621758692,42.7521845443927,1F7BE226-1126-4AFB-B8CE-49DBCDC6030C,Chamberlain Brothers Ranch,5237,DOUGLAS,WY,WY66,
-107.40758480278,43.623577281369,0B8C7161-A88B-4961-81D5-1BD84DF65269,Orchard Ranch,5277,TEN SLEEP,WY,WY38,
-106.308396932494,42.847606723363,0F58CF1D-1C15-4275-A665-EA2A65ECF2A8,Wyoming Medical Center,5340,CASPER,WY,WY57,
-107.687035932705,43.3405211135318,4753DF62-E47C-4E19-94B7-47AE2E6A4F1B,Bridger Creek,5350,LYSITE,WY,WY34,
-105.538343937802,42.5866734192109,3356D366-FEE6-4A73-BBAA-A47463D822A6,Wagonhound,5470,DOUGLAS,WY,WY27,
-106.823622138073,43.4233400834153,D690D32A-F549-4730-900F-57D8E7D1681C,Willow Creek Ranch,5521,KAYCEE,WY,10WY,
-109.279456183519,44.4062566519567,AC2980D2-3E92-435B-B11B-2E7189095924,Bar Flying E,5550,CODY,WY,2WY8,
-104.785255295202,41.6222036306207,996498A8-2598-4324-A3CD-9FB92A67620A,Vowers Ranch,5550,CHUGWATER,WY,WY29,
-104.410912913822,41.0733955305256,A1826B7E-58E5-45BD-B9D5-403BD7B29DE2,Morrison,5570,CARPENTER,WY,WY02,
-111.038511916171,43.1818119258843,7BFA0C81-8A65-4601-938A-A89044CF1CD0,Alpine,5637,ALPINE,WY,46U,
-111.038067449511,43.0397285768952,CC860CF9-3866-4D29-97E0-6DDC1410E6E2,Freedom Air Ranch,5698,FREEDOM,WY,0WY0,
-106.674877578996,42.8897400320616,97054DAE-BADE-424B-A163-93DFD1AF5E1B,American Falconry,5722,CASPER,WY,45WY,
-111.03151189799,43.0767369153747,2ADC1B24-DAFE-4205-B6A1-ED943E1CE165,Double L Ranch,5732,ETNA,WY,32WY,
-104.586621306631,41.2177760919696,B4C3FD2D-5054-496B-B34C-424A6069C6FB,Skyview Airpark,5838,CHEYENNE,WY,WY05,
-110.777145212858,43.2993397376672,ABD4206C-C2F0-47C7-A0B0-CBC3127A4AD1,Snake River Canyon,5886,JACKSON,WY,97WY,
-110.775578546869,43.3014730720273,F7C64B02-CDAF-47BA-91E8-E1F41D081FAE,Hmhs,5886,JACKSON,WY,98WY,
-110.982721868923,42.9574288508463,0303986F-E40E-45C6-9AFE-C95E2854818F,Lone Pine Flying Ranch,6000,THAYNE,WY,WY64,
-110.991247995656,43.0459327485338,530FB6CD-5417-48B0-9073-5999D9009D2B,Skidmo,6020,ETNA,WY,33WY,
-110.772993563754,43.409656694683,812BD056-B7EA-4C56-BE2C-CEAC8C550F54,Melody Ranch,6075,JACKSON,WY,WY31,
-104.825663011055,41.0727843891576,5B992499-3155-4F9B-BDE7-544439AE7A2B,Radio Ranch,6115,CHEYENNE,WY,WY46,
-104.811644962601,41.157209956397,F43A38C3-66FF-4D26-BAA0-BA1ABCC8A02C,Cheyenne Echo,6120,CHEYENNE,WY,WY50,
-110.74969801424,43.4801064261132,10E8567E-596F-4F05-84EC-E4E2692FBBC2,St John's Medical Center,6200,JACKSON,WY,23WY,
-110.965776867238,42.9693732975542,EA785FDF-2EF8-43F8-8344-758E117F622F,Star Valley Ranch,6210,THAYNE,WY,WY39,
-110.790453578358,43.4769064222638,6DC29815-CFA8-4672-AFDF-E05AEDE6CF28,Teton County Search & Rescue,6215,JACKSON,WY,18WY,
-110.761678573531,43.4847286475672,43C83EB9-B1BA-46BB-8507-14CE202297CB,Wyoming Game and Fish,6223,JACKSON,WY,WY43,
-110.750776090389,43.602159494844,5DD03B3B-2BC5-4AE4-8279-2883ADE592FF,Heli X,6267,JACKSON,WY,WY20,
-110.966032282831,42.0457770865584,C9990AC5-CBAD-4BEC-B0CA-7975EA8E8A01,Cokeville Muni,6270,COKEVILLE,WY,U06,
-110.897992114035,42.8610432917106,CB66AB36-3434-4D15-ADAA-87FA92EC6013,Heiner,6440,AFTON,WY,WY60,
-109.234580737331,41.5859813402694,C96F2239-F98B-45E1-A6E5-DD753C6ED9F8,Meml Hospital of Sweetwater County,6454,ROCK SPRINGS,WY,WY49,
-110.872233936317,42.0938951555231,E6DEF591-39A7-4EC8-B819-88A29602298F,Circle B,6524,COKEVILLE,WY,WY32,
-106.424480173604,42.0219138347294,723A7005-1CEE-4422-9E4B-99B3488F327D,Ellis Ranch,6530,MEDICINE BOW,WY,WY17,
-109.621571056782,44.8382852780459,BAC6B6D4-7D2F-48C2-9729-E73E8DB10ADB,Luckinbill Airstrip,6600,CODY,WY,WY06,
-106.182788433111,41.8839788361595,8B60262F-C60A-4AF8-971B-603D3F47B3E3,Medicine Bow,6658,MEDICINE BOW,WY,80V,
-110.990006061144,41.2436839402719,6D1DD40E-B071-4D08-AA1A-BDE6103F4EE8,Evanston Rgnl Hospital,6781,EVANSTON,WY,WY52,
-107.260733108566,41.7873537408388,E9B594A4-1112-4FDA-8FC2-E77EA4ABE0CF,Meml Hospital,6880,RAWLINS,WY,WY68,
-110.111489400629,42.5563647131687,0B10D759-F67B-49AE-B48C-1CB32B393A9F,Marbleton Big Piney Clinic,6975,BIG PINEY,WY,WY03,
-110.54177548965,41.7893423704849,A7CC460E-60BF-47A5-91E2-3C5BA89F29AB,South Lincoln Medical Center,6980,KEMMERER,WY,WY67,
-109.490209941492,41.4579618611634,0A37D539-FA5E-4269-989D-175541586CFA,Gtr Green River Intergalactic Spaceport,7182,GREEN RIVER,WY,48U,
-105.85890479985,42.2599733533571,242037A3-689D-4257-969F-1B3EC835A3FB,Robbins,7240,MEDICINE BOW,WY,WY16,
-109.852281059121,42.8709008804908,3AB11B45-D118-4E7D-89C8-C75130708C46,Pinedale Medical Clinic,7269,PINEDALE,WY,WY28,
-105.554602100557,41.3124232557591,42E755E7-2911-40FA-BD78-73BB918C9926,Ivinson Meml Hospital,7307,LARAMIE,WY,WY40,
-110.278345031016,42.816950838976,DC30ED79-F017-4843-9078-9D4607FC147A,Mountain King Ranch,7470,DANIEL,WY,WY33,
-105.511260419904,41.2847288103923,6928A147-2B32-4E82-B7FC-2081D95FBAD6,Rock & A Hard Place Ranch,7566,LARAMIE,WY,WY61,
-110.39598390329,42.5440341332642,4C2DDF7F-CBFD-47B3-9B7D-ED99674546C2,Fish Creek Ranch,7635,BIG PINEY,WY,WY19,
-106.592510684131,41.4091731900489,AEF618B1-5B75-491C-9259-229C70E5286B,Cedar Creek Ranch,7760,SARATOGA,WY,96WY,
-106.557541475924,41.1583084378768,1751EBE9-A6E7-47BD-9F82-52A409554587,A Bar A Ranch,7880,ENCAMPMENT,WY,WY11,
-110.109907305812,43.3755053588101,822BE7C0-21ED-4CDB-83B9-F63BC4E5E6F5,Kinky Creek Divide,8803,DUBOIS,WY,WY30,
-81.1241701450453,37.7873407347696,886688B3-B872-4999-A171-4A8EF1B621EE,Raleigh County Meml,2503.8,BECKLEY,WV,BKW,KBKW
-81.2075223328461,37.2959556598875,807C87AF-CCE8-4A80-87F4-472BE9AC4569,Mercer County,2856.7,BLUEFIELD,WV,BLF,KBLF
-80.2275352506281,39.2976624607131,0F1C6BCC-3C38-417B-892C-A423B85CE57D,North Central West Virginia,1223.5,CLARKSBURG,WV,CKB,KCKB
-81.5928972694691,38.3760205559395,AD4657E5-B177-40A3-9D17-5E4B19B7B722,West Virginia Intl Yeager,947.1,CHARLESTON,WV,CRW,KCRW
-82.1220703270144,37.6817713114627,9FAAB856-4DEF-4A8E-B21D-39420E8BA673,Southern West Virginia Rgnl,1883.2,WILLIAMSON,WV,EBD,KEBD
-79.8571420544171,38.889452117635,55C6A810-E162-4BF2-95CC-499F1D83B010,Elkins/Randolph County (Jennings Randolph Fld),1987.2,ELKINS,WV,EKN,KEKN
-80.6462718309675,40.1750192794333,0E47A565-9341-4389-8B0E-C8FD8C34538E,Wheeling Ohio County,1194.3,WHEELING,WV,HLG,KHLG
-82.560364170862,38.3685152631682,29685BAA-4AFC-4CC6-AF6D-631E5DE63E14,Tri-State/Milton J Ferguson Fld,828.3,HUNTINGTON,WV,HTS,KHTS
-80.3994857634411,37.8583141123321,FE1AA46F-3027-4755-A859-62BBFE9C1BF2,Greenbrier Valley,2301.6,LEWISBURG,WV,LWB,KLWB
-79.9175501795688,39.6436030971732,B0910D6A-495E-485B-B051-DF6BF71135AD,Morgantown Muni/Walter L Bill Hart Fld,1243.7,MORGANTOWN,WV,MGW,KMGW
-80.735781281824,39.880841163192,71710583-6EF9-4B6A-AE6A-4762F0B17A89,Marshall County,1214.6,MOUNDSVILLE,WV,MPG,KMPG
-77.983002620999,39.4023656281681,8B7584DF-9EEE-4944-8BB3-B1C454C9CDA3,Eastern Wv Rgnl/Shepherd Fld,564.8,MARTINSBURG,WV,MRB,KMRB
-81.4392967357445,39.3449696402966,E1F951CE-41C3-468A-89A2-1139A06F2ACA,Mid-Ohio Valley Rgnl,858.5,PARKERSBURG,WV,PKB,KPKB
-80.8708089864807,38.231646390261,A8F77920-D0A0-4293-99C1-D6FE132CBE3B,Summersville,1819.7,SUMMERSVILLE,WV,SXL,KSXL
-81.3488325044337,38.8238045425518,D4B7BA09-0EA4-4ECA-9EA8-FE178EC2A22A,Boggs Fld,928.3,SPENCER,WV,USW,KUSW
-80.492450592434,39.048263234735,87E03CCF-13AB-42D9-88F5-E31F99B9F6E8,Stonewall Jackson Meml Hospital,101,WESTON,WV,WV75,
-78.1660860300074,39.6926190112231,FF47E556-4DCD-4CE4-BC8D-629241A24B57,Potomac Airpark,412.5,BERKELEY SPRINGS,WV,W35,
-77.7947247798273,39.3305633992545,90D5E714-1E77-4F73-BF5D-E58D58DF36F7,Needwood Farm,440,HARPERS FERRY,WV,WV21,
-77.971519295683,39.574730106696,F9FC2BC9-58AC-447A-9F23-148D7E9A0F66,Green Landings,490,HEDGESVILLE,WV,WV22,
-77.9130887110881,39.4150356334098,75DFE46B-85F1-434F-BECF-DA01DC8B7D15,Va Medical Center,496,MARTINSBURG,WV,WV05,
-78.1565026743273,39.393702285649,45C840C0-A481-4FB0-8790-5C834FF4D6E3,Michaels Farms,510,MARTINSBURG,WV,WV17,
-77.8578303532096,39.2957939448965,D1499A12-09C4-4740-8887-D5834E2C936F,Jefferson Medical Center,512,RANSON,WV,WV86,
-82.0234774445775,39.0223078862721,AA84A1C6-C448-42B9-ABA6-7714A8AA3947,Pomeroy/Mason,538,MASON,WV,WV35,
-77.9794594306699,39.4756600868147,2C6F47EA-5DE9-4DC7-ABD5-57C7A89111F1,Berkeley Medical Center,549,MARTINSBURG,WV,WV48,
-82.313763881055,38.4570363742093,315DA627-0BEB-47D3-AE90-84B32B418D63,Robert Newlon Fld,550,HUNTINGTON,WV,I41,
-81.7731909749173,38.9520326054555,D956FB7A-2FA5-4E3F-B9E5-367D69BDA939,Ravenswood,560,RAVENSWOOD,WV,WV39,
-82.200781623987,38.4408963758944,8E96811A-9959-4E6D-8E99-30929D464442,Ona Airpark,571.7,MILTON,WV,12V,
-81.5859626075621,39.2653604525001,E023F571-3574-429C-9C5C-ACD40973E087,West Parkersburg,582,PARKERSBURG,WV,WV38,
-81.1998386118235,39.4136938309777,9A3831EB-76D2-4DBE-A989-8D14EFF0F636,St Mary's,587,ST MARY'S,WV,WV40,
-82.3998761270618,38.4305491432911,C8853156-C1D2-412C-8DA1-26B8A495B684,St Mary's Hospital,588,HUNTINGTON,WV,WV02,
-81.5520857093413,39.2801266788345,0BCFB344-1EAC-408B-B0F9-17273F593EEB,St Joseph's Hospital,600,PARKERSBURG,WV,5WV5,
-81.5287208785988,38.2204804997697,51914AD1-3C04-4F97-AF6E-5249FEA14E60,Island,600,CHESAPEAKE,WV,WV08,
-82.121737185257,38.8686547960862,6A4938CA-4BCF-4B33-8D78-78728464EBD6,Pleasant Valley Hospital,600,POINT PLEASANT,WV,WV58,
-80.8703813052717,39.6359177771851,92B2D2A0-7480-4227-B0B4-A1D94EB6C89E,New Martinsville,602,NEW MARTINSVILLE,WV,WV37,
-82.1113552563929,38.3437108885692,34260CB9-C7BE-4EBB-811A-D5C67190879B,Crazy Horse,603,HAMLIN,WV,12WV,
-81.4428925693464,39.3381465838187,C2A87D12-151B-4DF7-8954-947A8A3DBB57,Wood County,608,PARKERSBURG,WV,WV73,
-80.7178624029052,40.0931356496686,1E78DC18-7222-4FCF-8B33-C6442BFFE604,Warwood - Martins Ferry,623,WHEELING,WV,WV43,
-80.7650896273457,39.9292489492194,F909A4A3-62EC-4C2B-895B-9684B3D85F4D,Moundsville,623,MOUNDSVILLE,WV,WV44,
-82.4266539116826,38.4102630271487,260BBE9C-BE9A-4A69-8AE5-6E923C0A7205,Cabell Huntington Hospital,629,HUNTINGTON,WV,WV27,
-82.0985827375503,38.9146423060535,3D2CB240-B534-471C-829C-EC80B0998CE4,Mason County,643.4,POINT PLEASANT,WV,3I2,
-80.6220218401191,40.3978534899235,E24A56AF-4FB7-4CB9-86F1-BC8EA2A1B15E,Weirton - Steubenville,644,WEIRTON,WV,WV42,
-80.6173004399511,40.2678556874034,B8FF573A-37A6-4201-9E04-36F0FB636554,Wellsburg,644,WELLSBURG,WV,WV46,
-80.7595332380661,39.9486928421915,D8170C43-2B52-4965-A2FD-FEFDEA710DD1,Glendale Fokker Fld,648,GLENDALE,WV,WV66,
-81.3916703160147,39.1172420981097,F56EEEB6-987B-4F4F-AF1A-60F612AF7784,Hales Landing,650,ELIZABETH,WV,2WV3,
-81.7595753761808,38.3826016612036,2F39AC5E-A135-4AA3-8F83-84CC2E211FB5,State Police,650,CHARLESTON,WV,WV07,
-78.0790443147914,39.35554117013,ADCB63C3-2A47-4FDD-8D81-EE7659D1AB4B,Taylors,650,GERRARDSTOWN,WV,WV68,
-80.524793772606,40.6292393710239,3A4C99A4-9B7A-40A3-867B-A86D80735853,East Liverpool,665,EAST LIVERPOOL - CHESTER,WV,WV41,
-81.8036981730791,38.4788269553337,E386E28B-3383-42AC-8992-4A9BFF64D9D5,Kurt's Fld,670,POCA,WV,27WV,
-80.7247257350564,40.0530634197038,93B8CBAE-727B-4AF1-A513-C58FFAAEE464,West Virginia State Police,682,WHEELING,WV,2WV6,
-81.6016842139818,38.3297936014113,74A770D8-B53C-4FED-A80F-FA0AD4141164,CaMc-Meml,686,CHARLESTON,WV,WV56,
-80.8487007459096,39.6811966758624,A4FFD074-0F01-4FCD-BDDF-4461DCE66FEB,Wetzel County Hospital,689,NEW MARTINSVILLE,WV,WV20,
-78.9264165298356,39.4834333846525,C4B931D8-1A9E-48C0-AA4A-AB8886C0E238,Gerstell Farms,700,KEYSER,WV,WV15,
-81.8194759873365,38.9297853771152,E832D2A0-0C03-45D2-B073-22021F5A9784,Jackson County,758.2,RAVENSWOOD,WV,I18,
-81.6960342722321,38.762224238656,8B6F0A61-BFF4-4FEA-8862-3BAA8A7904D9,Dickirson,790,FAIRPLAIN,WV,WV50,
-78.2010054825654,39.6429328890689,7EC357D8-D039-4ED3-ADF8-849AFC33BD45,War Meml Hospital,792,BERKELEY SPRINGS,WV,15WV,
-78.4255583092938,39.3252855954928,658C0C88-A548-413B-87AE-A96393C7CB4D,River's  Edge Farm,810,CAPON BRIDGE,WV,38WV,
-82.0623660353929,38.5709269624018,25AD577D-4204-44A7-ABC4-01EE01242FFC,Minnick's,830,UPLAND,WV,WV13,
-79.003236270669,39.4104078111857,FE5011EA-5FE7-4007-87D7-CE89C8E0C0F2,Potomac Valley Hospital,878,KEYSER,WV,1WV0,
-81.7399675890325,38.3351033186346,4ED8A962-E662-41E4-881E-238334F23344,Mallory,880,SOUTH CHARLESTON,WV,WV12,
-82.516645603377,38.3773685717976,6A2339C3-3965-4921-ACCA-5FF854611664,Va Medical Center,885,HUNTINGTON,WV,3WV2,
-78.2355635368443,39.4695492425285,010CB5B8-C86D-40DC-876B-318949A52794,Buzzards Gap,960,BERKELEY SPRINGS,WV,WV61,
-79.1458640650325,38.9949521673168,1E0036F1-F28C-4C16-A103-86EA7F3B27E6,Grant County,962.9,PETERSBURG,WV,W99,
-80.2768644402857,39.4061188688362,363521F1-FBA8-4EA2-879E-36286D0E6814,Wade F Maley Fld,997,SHINNSTON,WV,6W0,
-81.3103230175538,38.7775298130968,ECF7DAAE-BE4D-43D0-860C-2C701C5A623A,Slate Run,1001,SPENCER,WV,55I,
-80.6508089829087,39.1659076951573,EED7CCDA-CE86-4342-B7AB-CAA1798B8277,Nicholson,1008,WEST UNION,WV,75WV,
-80.3788922402609,39.2730632835597,9C5612B8-5BF8-464A-8ECF-4F80D92407DE,Cng Division 4,1022,CLARKSBURG,WV,WV16,
